,_c0,DATE,Themes,Organizations,V2Tone
931,931,20150302000000.0,TAX_FNCACT;TAX_FNCACT_DRIVERS;DELAY;NATURAL_DISASTER;NATURAL_DISASTER_STORM_SYSTEM;NATURAL_DISASTER_FREEZING_TEMPERATURES;TAX_FNCACT_ADMINISTRATOR;TRAFFIC;NATURAL_DISASTER_ICY;NATURAL_DISASTER_WINTER_STORM;MARITIME;MEDIA_SOCIAL;,maryland transportation authority;facebook;national weather service;maryland department of administration,"-5.20446096654275,1.11524163568773,6.31970260223048,7.43494423791822,23.7918215613383,1.11524163568773,240"
932,932,20150302000000.0,MANMADE_DISASTER_IMPLIED;TAX_FNCACT;TAX_FNCACT_EMPLOYEE;TAX_ETHNICITY;TAX_ETHNICITY_CHINESE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_CHINESE;TAX_WORLDLANGUAGES_AMONG;TAX_FNCACT_WORKERS;RECRUITMENT;MEDIA_MSM;TAX_FNCACT_CHILDREN;ENV_MINING;TAX_FNCACT_AUTHOR;TAX_FNCACT_PRESENTER;TAX_ETHNICITY_INDIAN;TAX_ETHNICITY_INDIANS;RELIGION;IDEOLOGY;GENERAL_HEALTH;MEDICAL;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITAL;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_LIONS;KILL;ORGANIZED_CRIME;TAX_FNCACT_VILLAGERS;POVERTY;TAX_FNCACT_DECORATOR;TAX_FNCACT_MAID;TAX_FNCACT_PAINTER;TAX_FNCACT_DIRECTOR;TAX_FNCACT_CHEVALIER;TAX_FNCACT_CAMERAMAN;TAX_WORLDLANGUAGES_SERRA;SECURITY_SERVICES;TAX_FNCACT_POLICE;TAX_FNCACT_OFFICERS;TAX_FNCACT_DETECTIVES;TAX_FNCACT_CRIMINAL;TAX_ETHNICITY_AUSTRALIAN;ARMEDCONFLICT;,,"0.1001001001001,4.5045045045045,4.4044044044044,8.90890890890891,18.2182182182182,0.700700700700701,885"
933,933,20150302000000.0,APPOINTMENT;TAX_WORLDFISH;TAX_WORLDFISH_TOP;TAX_FNCACT;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_CHIEF;TAX_FNCACT_CHIEF_EXECUTIVE;MEDIA_MSM;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_FNCACT_EXECUTIVE_OFFICER;TAX_FNCACT_CHIEF_EXECUTIVE_OFFICER;TAX_FNCACT_DIRECTOR;TAX_FNCACT_MANAGING_DIRECTOR;TAX_FNCACT_MANAGER;TAX_FNCACT_GENERAL_MANAGER;TAX_FNCACT_DEPUTY;TAX_FNCACT_CHIEF_FINANCIAL_OFFICER;TAX_FNCACT_RETAILER;TAX_FNCACT_CHAIRMAN;TAX_ETHNICITY;TAX_ETHNICITY_AUSTRALIAN;ECON_IPO;ENV_MINING;,australian securities exchange,"2.3109243697479,3.36134453781513,1.05042016806723,4.41176470588235,25.8403361344538,0,442"
934,934,20150302000000.0,CRIME_ILLEGAL_DRUGS;DRUG_TRADE;MEDIA_MSM;TRIAL;DEATH_PENALTY;TAX_FNCACT;TAX_FNCACT_JUDGES;TAX_FNCACT_COMMISSIONER;TAX_FNCACT_LAWYERS;LEADER;TAX_FNCACT_PRESIDENT;TAX_FNCACT_MINISTER;TAX_FNCACT_PRIME_MINISTER;LEGISLATION;,judicial commission,"-5.13447432762836,1.9559902200489,7.09046454767726,9.04645476772616,28.1173594132029,0.97799511002445,376"
935,935,20150302000000.0,,associated press,"-2.58064516129032,1.29032258064516,3.87096774193548,5.16129032258065,21.2903225806452,0,139"
936,936,20150302000000.0,TAX_FNCACT;TAX_FNCACT_MAN;KILL;SECURITY_SERVICES;TAX_FNCACT_POLICE;TAX_FNCACT_CARPENTER;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_SAMARITANS;GENERAL_HEALTH;MEDICAL;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_MEDICAL_CENTER;NATURAL_DISASTER;NATURAL_DISASTER_DROWNING;TAX_FNCACT_OFFICIAL;,maui memorial medical center,"-3.2258064516129,1.61290322580645,4.83870967741935,6.45161290322581,23.3870967741935,0,116"
937,937,20150302000000.0,ARMEDCONFLICT;TERROR;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;MEDIA_SOCIAL;RELIGION;TAX_ETHNICITY_ARAB;ALLIANCE;TAX_RELIGION;TAX_RELIGION_MUSLIM;TAX_ETHNICITY_MUSLIM;TAX_TERROR_GROUP;TAX_TERROR_GROUP_MUSLIM_BROTHERHOOD;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_MUSLIM_BROTHERHOOD;,youtube,"-4.75247524752475,4.75247524752475,9.5049504950495,14.2574257425743,19.6039603960396,0.99009900990099,465"
938,938,20150302000000.0,TAX_WORLDFISH;TAX_WORLDFISH_FISH;KILL;AFFECT;AGRICULTURE;TAX_FNCACT;TAX_FNCACT_FARMERS;TAX_WORLDFISH_FROGFISH;TAX_WORLDCRUSTACEANS;TAX_WORLDCRUSTACEANS_CRAB;ECON_STOCKMARKET;TAX_FNCACT_FARMER;TAX_FNCACT_SPOKESPERSON;,veterinary authority,"-2.05949656750572,1.1441647597254,3.20366132723112,4.34782608695652,25.1716247139588,0.22883295194508,412"
939,939,20150302000000.0,PUBLIC_TRANSPORT;ARREST;RELIGION;RELEASE_HOSTAGE;TAX_RELIGION;TAX_RELIGION_CHRISTIANS;TAX_ETHNICITY;TAX_ETHNICITY_CHRISTIANS;TAX_ETHNICITY_ASSYRIANS;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_ASSYRIANS;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT;TAX_FNCACT_ACTIVIST;NEGOTIATIONS;KIDNAP;TAX_ETHNICITY_ASSYRIAN;TAX_WORLDLANGUAGES_ASSYRIAN;TAX_FNCACT_OFFICIALS;TAX_ETHNICITY_ARAB;TAX_RELIGION_MUSLIM;TAX_ETHNICITY_MUSLIM;TAX_FNCACT_CHIEFS;TAX_FNCACT_TRIBAL_CHIEFS;EXTREMISM;TERROR;ARMEDCONFLICT;SEIZE;TAX_RELIGION_CHRISTIAN;TAX_ETHNICITY_CHRISTIAN;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;SELF_IDENTIFIED_HUMAN_RIGHTS;REBELLION;TAX_WORLDLANGUAGES_AMONG;TAX_FNCACT_ENVOY;TAX_RELIGION_CHURCH;JIHAD;,,"-4.25531914893617,1.27659574468085,5.53191489361702,6.80851063829787,22.5531914893617,0,222"
940,940,20150302000000.0,NATURAL_DISASTER;NATURAL_DISASTER_ICE;TAX_FNCACT;TAX_FNCACT_CHILD;,,"1.03626943005181,1.55440414507772,0.518134715025907,2.07253886010363,32.6424870466321,1.55440414507772,175"
