,_c0,DATE,Themes,Organizations,V2Tone
0,0,20150302000000.0,EDUCATION;,special olympics;feilding high school;olympics,"0.561797752808988,2.80898876404494,2.24719101123596,5.0561797752809,27.8089887640449,0.280898876404494,321"
1,1,20150302000000.0,EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOLS;SOC_POINTSOFINTEREST_SCHOOL;TAX_FNCACT;TAX_FNCACT_DIRECTOR;,fraser institute,"1.03092783505155,1.03092783505155,0,1.03092783505155,34.020618556701,0,84"
2,2,20150302000000.0,ARREST;SOC_GENERALCRIME;TAX_FNCACT;TAX_FNCACT_MAN;SECURITY_SERVICES;TAX_FNCACT_POLICE;LEGISLATION;TAX_FNCACT_AUTHORITIES;SOC_SUSPICIOUSPEOPLE;,,"-6.54205607476635,0.934579439252336,7.47663551401869,8.41121495327103,19.6261682242991,0.934579439252336,95"
3,3,20150302000000.0,TRAFFIC;MANMADE_DISASTER_IMPLIED;SOC_TRAFFICACCIDENT;MEDIA_SOCIAL;PUBLIC_TRANSPORT;TAX_FNCACT;TAX_FNCACT_PRINCES;DELAY;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_LABOR_MP;GENERAL_GOVERNMENT;GOV_LOCALGOV;TAX_FNCACT_MINISTER;TAX_FNCACT_GOVERNMENT_MINISTER;EDUCATION;TAX_FNCACT_PROFESSORS;TAX_FNCACT_SPOKESMAN;NATURAL_DISASTER;NATURAL_DISASTER_FLOODED;,,"-2.46305418719212,2.46305418719212,4.92610837438424,7.38916256157635,21.1822660098522,0.985221674876847,184"
4,4,20150302000000.0,TAX_RELIGION;TAX_RELIGION_VOODOO;MEDIA_MSM;LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENTS;TAX_FNCACT_PRESIDENT;TAX_ETHNICITY;TAX_ETHNICITY_WHITE;TAX_FNCACT_CORRESPONDENTS;TAX_FNCACT_POLITICIANS;,white house correspondents association;netflix;united states,"1.82072829131653,2.94117647058824,1.12044817927171,4.06162464985994,21.9887955182073,1.68067226890756,645"
5,5,20150302000000.0,ECON_INTEREST_RATES;TAX_FNCACT;TAX_FNCACT_DIRECTOR;TAX_FNCACT_RESEARCH_DIRECTOR;UNEMPLOYMENT;TAX_ETHNICITY;TAX_ETHNICITY_AUSTRALIAN;,australian bureau of statistics,"-3.48837209302326,0.581395348837209,4.06976744186047,4.65116279069767,24.4186046511628,0,177"
6,6,20150302000000.0,TAX_ETHNICITY;TAX_ETHNICITY_KOREAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KOREAN;TAX_FNCACT;TAX_FNCACT_OFFICIAL;GENERAL_GOVERNMENT;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_DRILLS;,united states,"-2.75229357798165,0,2.75229357798165,2.75229357798165,16.5137614678899,0,88"
7,7,20150302000000.0,,fish department,"0.327868852459016,1.31147540983607,0.983606557377049,2.29508196721311,25.5737704918033,0,271"
8,8,20150302000000.0,GENERAL_GOVERNMENT;TAX_WORLDFISH;TAX_WORLDFISH_TOP;NATURAL_DISASTER;NATURAL_DISASTER_NATURAL_DISASTER;LEADER;TAX_FNCACT;TAX_FNCACT_MAYOR;NATURAL_DISASTER_CYCLONE;MANMADE_DISASTER_IMPLIED;ENV_MINING;TOURISM;SLFID_ECONOMIC_DEVELOPMENT;TAX_FNCACT_MINISTER;TAX_FNCACT_PRIME_MINISTER;TAX_FNCACT_MINISTERS;TAX_FNCACT_MAYORS;AFFECT;,,"-0.327868852459017,2.62295081967213,2.95081967213115,5.57377049180328,20.983606557377,1.31147540983607,282"
9,9,20150302000000.0,TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_LION;,sony,"0,1.04166666666667,1.04166666666667,2.08333333333333,17.7083333333333,0,89"
10,10,20150302000000.0,TAX_FNCACT;TAX_FNCACT_NOMINEE;KILL;GENERAL_HEALTH;MEDICAL;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITAL;TAX_FNCACT_OFFICIAL;TAX_FNCACT_DOCTOR;TAX_ETHNICITY;TAX_ETHNICITY_TURKISH;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_TURKISH;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;SELF_IDENTIFIED_HUMAN_RIGHTS;MOVEMENT_GENERAL;GENERAL_GOVERNMENT;TAX_ETHNICITY_KURDS;SOC_POINTSOFINTEREST_PRISON;LEADER;TAX_FNCACT_PRESIDENT;TAX_FNCACT_AUTHOR;TAX_FNCACT_MINISTER;MEDIA_SOCIAL;,twitter,"-2.12765957446809,5.1063829787234,7.23404255319149,12.3404255319149,18.2978723404255,0.425531914893617,216"
11,11,20150302000000.0,TAX_FNCACT;TAX_FNCACT_WOMAN;KILL;TAX_FNCACT_CORONER;TAX_FNCACT_OFFICIALS;MANMADE_DISASTER_IMPLIED;GENERAL_HEALTH;MEDICAL;SECURITY_SERVICES;TAX_FNCACT_POLICE;TAX_ETHNICITY;TAX_ETHNICITY_WHITE;TAX_FNCACT_DRIVER;ARREST;SOC_GENERALCRIME;TAX_FNCACT_SPOKESMAN;TRAFFIC;TAX_FNCACT_DETECTIVES;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_FNCACT_DETECTIVE;,toyota;valley traffic division detectives,"-5.20231213872832,0,5.20231213872832,5.20231213872832,20.8092485549133,0,151"
12,12,20150302000000.0,LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;TAX_FNCACT_COMMISSIONERS;TRANSPARENCY;MEDIA_MSM;ARREST;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_JAIL;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_AMONG;TAX_FNCACT_POLITICIANS;RECRUITMENT;MEDIA_SOCIAL;,facebook,"0,2.29357798165138,2.29357798165138,4.58715596330275,21.1009174311927,0.458715596330275,214"
13,13,20150302000000.0,ARREST;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_JAIL;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT;TAX_FNCACT_OFFICER;TAX_FNCACT_CRIMINAL;SECURITY_SERVICES;TAX_FNCACT_POLICE;MANMADE_DISASTER_IMPLIED;SOC_GENERALCRIME;TRAFFIC;,national news,"-7.83132530120482,1.20481927710843,9.03614457831325,10.2409638554217,25.3012048192771,0,142"
14,14,20150302000000.0,,,"-0.987841945288753,4.55927051671733,5.54711246200608,10.1063829787234,25.531914893617,4.7112462006079,1174"
15,15,20150302000000.0,TAX_FNCACT;TAX_FNCACT_MINISTER;TAX_FNCACT_FINANCE_MINISTER;TAX_ETHNICITY;TAX_ETHNICITY_GERMAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_GERMAN;SLFID_ECONOMIC_DEVELOPMENTAID;MEDIA_MSM;TAX_WORLDLANGUAGES_RUSSIA;DEMOCRACY;TAX_ETHNICITY_RUSSIAN;TAX_WORLDLANGUAGES_RUSSIAN;TAX_FNCACT_LEADER;SLFID_MILITARY_SPENDING;SECURITY_SERVICES;TAX_FNCACT_POLICE;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICERS;TAX_FNCACT_OFFICERS;TAX_RELIGION;TAX_RELIGION_ISLAMIC;TERROR;KILL;SELF_IDENTIFIED_HUMAN_RIGHTS;FREESPEECH;TAX_RELIGION_SYNAGOGUE;,united kingdom secret intelligence service;european union,"-3.09523809523809,1.66666666666667,4.76190476190476,6.42857142857143,24.2857142857143,0.952380952380952,401"
16,16,20150302000000.0,TAX_FNCACT;TAX_FNCACT_MINISTER;PUBLIC_TRANSPORT;TAX_FNCACT_CONSULTANT;TAX_FNCACT_DIRECTOR;TAX_FNCACT_MANAGING_DIRECTOR;TAX_ETHNICITY;TAX_ETHNICITY_KOREAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KOREAN;TAX_FNCACT_OFFICIALS;TAX_ETHNICITY_WHITE;TAX_FNCACT_OFFICIAL;URBAN;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_AIRPORT;,bangalore metropolitan transport corporation,"-0.211864406779661,1.27118644067797,1.48305084745763,2.75423728813559,25.2118644067797,1.27118644067797,445"
17,17,20150302000000.0,,facebook;associated press;english football association,"2.06896551724138,4.13793103448276,2.06896551724138,6.20689655172414,21.7241379310345,1.03448275862069,268"
18,18,20150302000000.0,AFFECT;TAX_WEAPONS;TAX_WEAPONS_FIREARMS;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_MOSINS;ARMEDCONFLICT;REBELLION;,,"0.8,3.2,2.4,5.6,16.8,0.8,104"
19,19,20150302000000.0,TAX_ETHNICITY;TAX_ETHNICITY_AUSTRALIAN;TAX_FNCACT;TAX_FNCACT_CHIEF;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_DAWSON;TAX_FNCACT_MINISTER;TAX_FNCACT_RETAILER;GENERAL_GOVERNMENT;APPOINTMENT;TAX_FNCACT_WHOLESALER;,grocery council;consumer commission,"-0.865800865800866,2.16450216450216,3.03030303030303,5.19480519480519,26.8398268398268,0,216"
20,20,20150302000000.0,TAX_FNCACT;TAX_FNCACT_MINISTER;LEADER;TAX_FNCACT_PRIME_MINISTER;SLFID_MILITARY_SPENDING;MILITARY;TAX_FNCACT_NAVY;TAX_ETHNICITY;TAX_ETHNICITY_FRENCH;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_FRENCH;TAX_ETHNICITY_RUSSIAN;TAX_WORLDLANGUAGES_RUSSIAN;TAX_ETHNICITY_RUSSIANS;TAX_WORLDLANGUAGES_RUSSIANS;,,"-3.52112676056338,1.40845070422535,4.92957746478873,6.33802816901408,22.5352112676056,5.63380281690141,138"
21,21,20150302000000.0,TAX_FNCACT;TAX_FNCACT_JUDGE;TRIAL;TAX_FNCACT_LAWYER;TAX_FNCACT_DEPUTY;TAX_FNCACT_CLERK;TAX_FNCACT_COURT_CLERK;TAX_FNCACT_ATTORNEY;RAPE;TAX_FNCACT_EMPLOYEES;IMPEACHMENT;GENERAL_GOVERNMENT;ACT_MAKESTATEMENT;GRIEVANCES;TAX_FNCACT_SUPERVISOR;TAX_FNCACT_CHIEF;,u s circuit court,"-7.46268656716418,1.19402985074627,8.65671641791045,9.85074626865672,22.089552238806,0,314"
22,22,20150302000000.0,TAX_ETHNICITY;TAX_ETHNICITY_WHITE;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;TAX_FNCACT;TAX_FNCACT_WOMEN;TAX_ETHNICITY_BENGALI;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_BENGALI;TAX_FNCACT_MUSICIAN;TAX_FNCACT_PILOT;GENERAL_HEALTH;MEDICAL;SOC_POINTSOFINTEREST_HIGHSCHOOL;SOC_POINTSOFINTEREST_COLLEGE;TAX_FNCACT_STUDENT;TAX_ETHNICITY_BLACK;SOC_POINTSOFINTEREST_UNIVERSITY;TAX_FNCACT_PROFESSOR;TAX_FNCACT_STUDENTS;,white mountain school,"3.14769975786925,5.56900726392252,2.42130750605327,7.99031476997579,23.728813559322,0.968523002421308,371"
23,23,20150302000000.0,TAX_ETHNICITY;TAX_ETHNICITY_RUSSIAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_RUSSIAN;TAX_FNCACT;TAX_FNCACT_LEADER;TAX_WORLDLANGUAGES_RUSSIA;TAX_FNCACT_VETERAN;LEADER;TAX_FNCACT_POLITICIAN;KILL;TAX_ETHNICITY_WHITE;TAX_FNCACT_SUPPORTERS;TAX_FNCACT_CRITIC;TAX_FNCACT_DEPUTY;TAX_FNCACT_MINISTER;TAX_FNCACT_PRIME_MINISTER;MARITIME_INCIDENT;MARITIME;MANMADE_DISASTER_IMPLIED;TAX_FNCACT_MAN;TAX_FNCACT_POLITICIANS;MEDIA_MSM;TAX_ETHNICITY_RUSSIANS;TAX_WORLDLANGUAGES_RUSSIANS;TAX_FNCACT_HERO;MOVEMENT_GENERAL;MOVEMENT_SOCIAL;GENERAL_GOVERNMENT;PROTEST;GRIEVANCES;ECON_INFLATION;TAX_FNCACT_SECRETARY;TAX_FNCACT_SECRETARY_OF_STATE;SOC_GENERALCRIME;TAX_FNCACT_AUTHORITIES;ARREST;ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_RUBLES;,pavel golovkin associated press;dmitry lovetsky associated press russia;associated press,"-5.74886535552194,1.0590015128593,6.80786686838124,7.86686838124055,23.1467473524962,0.605143721633888,607"
24,24,20150302000000.0,TAX_FNCACT;TAX_FNCACT_OFFICIALS;TAX_ETHNICITY;TAX_ETHNICITY_GREEK;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_GREEK;GENERAL_GOVERNMENT;LEGISLATION;TAX_FNCACT_OFFICIAL;TAX_FNCACT_MINISTER;LEADER;TAX_FNCACT_PRIME_MINISTER;ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_EURO;ECON_DEVELOPMENTORGS;ECON_DEVELOPMENTORGS_INTERNATIONAL_MONETARY_FUND;TAX_FNCACT_FINANCE_MINISTER;ECON_CENTRALBANK;MEDIA_MSM;,european central bank,"-2.75482093663912,1.37741046831956,4.13223140495868,5.50964187327824,24.2424242424242,1.92837465564738,343"
25,25,20150302000000.0,TAX_WORLDCRUSTACEANS;TAX_WORLDCRUSTACEANS_CRAB;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_SUNGEI;KILL;EDUCATION;MANMADE_DISASTER_IMPLIED;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_LION;NATURAL_DISASTER;NATURAL_DISASTER_FLOOD;SOC_POINTSOFINTEREST_AIRPORT;TAX_ETHNICITY;TAX_ETHNICITY_AUSTRALIAN;TAX_FNCACT;TAX_FNCACT_MINISTER;LEADER;TAX_FNCACT_PRIME_MINISTER;TAX_FNCACT_FOUNDER;TAX_WORLDLANGUAGES_BURMESE;TAX_RELIGION;TAX_RELIGION_BUDDHIST;TAX_ETHNICITY_BUDDHIST;,housing development board;ministry of manpower;regent hotel;raffles hotel;hotel nacional;singapore airlines,"-0.0996015936254979,1.89243027888446,1.99203187250996,3.88446215139442,23.804780876494,1.39442231075697,932"
26,26,20150302000000.0,MANMADE_DISASTER_IMPLIED;TAX_FNCACT;TAX_FNCACT_MAN;TAX_FNCACT_SINGER;MEDIA_SOCIAL;TAX_FNCACT_GUARD;,twitter,"1.25786163522013,5.0314465408805,3.77358490566038,8.80503144654088,27.0440251572327,1.25786163522013,143"
27,27,20150302000000.0,TAX_FNCACT;TAX_FNCACT_WRITER;LEGISLATION;ARMEDCONFLICT;SELF_IDENTIFIED_ATROCITY;SOC_FASCISM;IDEOLOGY;TAX_FNCACT_GUIDE;KILL;TAX_FNCACT_VICTIMS;TAX_ETHNICITY;TAX_ETHNICITY_ASIAN;TAX_ETHNICITY_JAPANESE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_JAPANESE;TAX_FNCACT_MINISTER;LEADER;TAX_FNCACT_PRIME_MINISTER;TAX_FNCACT_MINISTERS;TAX_FNCACT_PRIME_MINISTERS;SOC_EXPRESSREGRET;KIDNAP;TAX_RELIGION;TAX_RELIGION_ISLAMIC;TAX_TERROR_GROUP;TAX_TERROR_GROUP_ISLAMIC_STATE;TERROR;SOC_GENERALCRIME;,xinhua;united nations;un security council,"-2.52808988764045,3.08988764044944,5.61797752808989,8.70786516853933,21.4419475655431,0.0936329588014981,990"
28,28,20150302000000.0,TOURISM;TAX_FNCACT;TAX_FNCACT_TOURISTS;GENERAL_HEALTH;MEDICAL;TAX_FNCACT_DIRECTOR;WATER_SECURITY;TAX_FNCACT_TOURIST;NATURAL_DISASTER;NATURAL_DISASTER_MONSOON;,malaysian meteorological department,"1.63934426229508,2.45901639344262,0.819672131147541,3.27868852459016,30.327868852459,0,116"
29,29,20150302000000.0,TAX_FNCACT;TAX_FNCACT_SHEPHERD;TAX_FNCACT_WORKERS;TAX_ETHNICITY;TAX_ETHNICITY_AUSTRALIAN;SCIENCE;TAX_FNCACT_DESIGNER;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_OREGON;,,"-3.23275862068966,3.01724137931034,6.25,9.26724137931035,32.1120689655172,0.431034482758621,432"
30,30,20150302000000.0,TAX_RELIGION;TAX_RELIGION_ISLAMIC;ECON_DEVELOPMENTORGS;ECON_DEVELOPMENTORGS_ISLAMIC_DEVELOPMENT_BANK;TAX_FNCACT;TAX_FNCACT_CEO;TAX_FNCACT_MANAGER;TAX_FNCACT_GENERAL_MANAGER;CLOSURE;SLFID_ECONOMIC_DEVELOPMENT;IDEOLOGY;TAX_RELIGION_SHARIA;ECON_CENTRALBANK;TAX_ETHNICITY;TAX_ETHNICITY_ARAB;TAX_FNCACT_DEVELOPER;TAX_ETHNICITY_ASIAN;,financial services group;advisory services;life insurance corporation of india;central bank;abu dhabi investment authority;infrastructure development;infrastructure leasing financial services limited;financial services companies;orix corporation;islamic development bank group;african press organization;islamic development bank;il fs groups international business;sate bank;housing development;il fs group,"4.17910447761194,4.17910447761194,0,4.17910447761194,13.4328358208955,0.447761194029851,580"
31,31,20150302000000.0,,,"-3.82262996941896,1.98776758409786,5.81039755351682,7.79816513761468,21.8654434250765,0,541"
32,32,20150302000000.0,TAX_ETHNICITY;TAX_ETHNICITY_WHITE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_ARABIC;KILL;TAX_ETHNICITY_ITALIAN;TAX_WORLDLANGUAGES_ITALIAN;TAX_FNCACT;TAX_FNCACT_ARTIST;TAX_RELIGION;TAX_RELIGION_ISLAM;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;TAX_WORLDLANGUAGES_AMONG;TAX_RELIGION_SUFI;TAX_ETHNICITY_SUFI;TAX_FNCACT_VILLAGERS;TAX_RELIGION_BUDDHIST;TAX_ETHNICITY_BUDDHIST;TAX_ETHNICITY_INDIAN;,jordan national gallery of fine arts,"7.07350901525659,8.32177531206657,1.24826629680999,9.57004160887656,23.5783633841886,0,636"
33,33,20150302000000.0,TAX_ETHNICITY;TAX_ETHNICITY_LITHUANIAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_LITHUANIAN;,telecommunications market research;market research;telecommunications company profile;market telecommunications market;lithuania telecommunications;market telecommunications company,"-0.831024930747923,1.38504155124654,2.21606648199446,3.601108033241,23.8227146814404,1.38504155124654,312"
34,34,20150302000000.0,ELECTION;RELIGION;EDUCATION;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;TAX_ETHNICITY_WHITE;IDEOLOGY;KILL;NATURAL_DISASTER;NATURAL_DISASTER_DROWNED;ECON_ENTREPRENEURSHIP;TAX_FNCACT;TAX_FNCACT_MAN;TAX_FNCACT_COMEDIAN;TAX_FNCACT_CHILDREN;SECURITY_SERVICES;TAX_FNCACT_POLICE;ORGANIZED_CRIME;TAX_FNCACT_WOMAN;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;BULLYING;TAX_FNCACT_LEADERS;NATURAL_DISASTER_AVALANCHES;GENERAL_GOVERNMENT;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KAREN;TAX_FNCACT_PROFESSOR;,uq centre for critical;jane mcgrath foundation,"-7.45192307692308,2.76442307692308,10.2163461538462,12.9807692307692,22.3557692307692,3.125,732"
35,35,20150302000000.0,GENERAL_GOVERNMENT;TAX_FNCACT;TAX_FNCACT_COUNSELLOR;MANMADE_DISASTER_IMPLIED;ENV_MINING;TAX_ETHNICITY;TAX_ETHNICITY_CANADIAN;TAX_FNCACT_ADVISER;TAX_FNCACT_ENGINEER;EDUCATION;TAX_FNCACT_PROFESSOR;TAX_FNCACT_QUEEN;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;TAX_FNCACT_MINISTER;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;SELF_IDENTIFIED_HUMAN_RIGHTS;SLFID_NATURAL_RESOURCES;POVERTY;TAX_FNCACT_CRITIC;SLFID_ECONOMIC_DEVELOPMENT;TAX_FNCACT_CHIEF;TAX_WORLDBIRDS;TAX_WORLDBIRDS_YELLOWHEAD;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_DEMOCRAT;RURAL;ENV_METALS;ECON_ELECTRICALGRID;TAX_ETHNICITY_KOREAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KOREAN;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_CHIEF_EXECUTIVE;MEDIA_MSM;TAX_FNCACT_EMPLOYEES;SECURITY_SERVICES;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_FNCACT_CHIEF_OPERATING_OFFICER;MEDIA_SOCIAL;TAX_FNCACT_SPY;SOC_USSECURITYAGENCIES;TAX_FNCACT_TRADERS;ECON_CENTRALBANK;ENV_OIL;ECON_OILPRICE;LEADER;TAX_FNCACT_GOVERNOR;TAX_FNCACT_PORTER;TAX_FNCACT_ECONOMIST;TAX_WORLDCRUSTACEANS;TAX_WORLDCRUSTACEANS_LOBSTER;TAX_FNCACT_FISHERMAN;MARITIME_INCIDENT;MARITIME;MARITIME_PIRACY;TAX_ETHNICITY_ASIAN;TAX_WORLDMAMMALS_HORSE;TAX_WORLDCRUSTACEANS_LOBSTERS;SOC_POINTSOFINTEREST_AIRPORT;GEN_HOLIDAY;ECON_FREETRADE;TAX_ETHNICITY_AMERICANS;ECON_MIDDLECLASS;TAX_FNCACT_FISHERMEN;ENV_FISHERY;GENERAL_HEALTH;TAX_DISEASE;TAX_DISEASE_MAD_COW_DISEASE;AGRICULTURE;BAN;TAX_FNCACT_OFFICIALS;MEDICAL;AFFECT;TAX_FNCACT_OFFICIAL;SURVEILLANCE;TAX_ETHNICITY_BLACK;TAX_FNCACT_DIRECTOR;TAX_FNCACT_CHIEF_FINANCIAL_OFFICER;TAX_FNCACT_REGULATOR;TAX_FNCACT_SPOKESMAN;PERSECUTION;DISCRIMINATION;IDEOLOGY;TAX_FNCACT_GUIDE;TRIAL;CORRUPTION;TAX_WORLDLANGUAGES_AMONG;LEGISLATION;SOC_POINTSOFINTEREST_PRISON;TAX_FNCACT_PROSECUTORS;ARREST;SOC_POINTSOFINTEREST_JAIL;SOC_EXPRESSREGRET;ECON_STOCKMARKET;DELAY;ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_DOLLAR;ECON_WORLDCURRENCIES_CANADIAN_DOLLAR;TAX_FNCACT_MANAGERS;TAX_RELIGION;TAX_RELIGION_JAIN;TAX_ETHNICITY_JAIN;TAX_FNCACT_MANAGER;TAX_FNCACT_PORTFOLIO_MANAGER;ECON_HOUSING_PRICES;TAX_FNCACT_ECONOMISTS;ECON_INTEREST_RATES;NATURAL_DISASTER;NATURAL_DISASTER_HEAVY_SNOW;NEW_CONSTRUCTION;ECON_GASOLINEPRICE;ECON_HEATINGOIL;TAX_FNCACT_ANALYST;TAX_FNCACT_INVESTOR;TAX_FNCACT_CEO;ECON_DEBT;TAX_FNCACT_EXECUTIVES;AVIATION_INCIDENT;AVIATION_INCIDENT_ENGINE_FAILURE;MANMADE_DISASTER;MANMADE_DISASTER_ENGINE_FAILURE;,stone mccarthy research associates;coldwater lobster association;lobster council of canada;queen university;u s district court;canadian food inspection agency;nasdaq;university of michigan;pacific rubiales energy corp;penn west petroleum ltd;blackberry enterprise service;dow jones;department of energy;blackberry ltd;canadian embassy;u s supreme court;halifax stanfield international airport;national association of realtors;apple inc;harte gold corp;hollinger inc;canadian press ap jacquelyn martin;royal bank;u s circuit court;twitter;manulife financial corp;samsung;times media group;bombardier inc;samsung electronics;td bank;hollinger international inc;ontario securities commission;aimia inc;universal pictures;ontario northern development;world organisation for animal health;united states;toronto stock exchange;world congress,"-1.21359223300971,1.71521035598706,2.92880258899676,4.64401294498382,22.3462783171521,0.857605177993528,5619"
36,36,20150302000000.0,TAX_FNCACT;TAX_FNCACT_VETERAN;TAX_FNCACT_ROLE_MODEL;TAX_DISEASE;TAX_DISEASE_CANCER;TAX_DISEASE_LUNG_CANCER;MEDIA_MSM;,,"4.32098765432099,6.79012345679012,2.46913580246914,9.25925925925926,11.7283950617284,0,146"
37,37,20150302000000.0,TAX_FNCACT;TAX_FNCACT_PLAYWRIGHT;TAX_FNCACT_ACTOR;SELF_IDENTIFIED_HUMAN_RIGHTS;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;TAX_ETHNICITY;TAX_ETHNICITY_SOVIET;TAX_RELIGION;TAX_RELIGION_JEWS;ARMEDCONFLICT;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_YIDDISH;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;SOC_POINTSOFINTEREST_SCHOOL;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_CAPTAIN;TAX_FNCACT_CAPTAIN;TAX_FNCACT_MUSICIAN;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_DOG;TAX_FNCACT_CHILDREN;GENERAL_HEALTH;MEDICAL;TAX_FNCACT_STUDENTS;TAX_FNCACT_FACULTY;,segal centre;school of cinematic arts;universal pictures;university of southern california;national yiddish theatre folksbiene international david;montreal international jazz festival;ronald mcdonald house charities;concordia university;segal centre for performing arts;mcdonalds,"0.558659217877095,1.67597765363128,1.11731843575419,2.79329608938547,18.6219739292365,0,463"
38,38,20150302000000.0,GENERAL_HEALTH;MEDICAL;TAX_FNCACT;TAX_FNCACT_NURSES;TAX_DISEASE;TAX_DISEASE_EBOLA;TAX_RELIGION;TAX_RELIGION_PRESBYTERIAN;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;TAX_FNCACT_PHYSICIAN;,national institutes of health;texas health presbyterian,"3.125,5,1.875,6.875,21.875,0.625,147"
39,39,20150302000000.0,TAX_FNCACT;TAX_FNCACT_SCOUT;TAX_FNCACT_TROOPS;MEDIA_MSM;,girl scouts;national girl scout cookie weekend,"1.13636363636364,1.13636363636364,0,1.13636363636364,22.1590909090909,0.568181818181818,161"
40,40,20150302000000.0,,whitsunday shopping centre,"-1.01010101010101,1.01010101010101,2.02020202020202,3.03030303030303,26.2626262626263,1.01010101010101,92"
41,41,20150302000000.0,ENV_METALS;TAX_WORLDFISH;TAX_WORLDFISH_TOPS;TAX_FNCACT;TAX_FNCACT_ARTISTS;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_AMONG;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMANS;TAX_FNCACT_ARTIST;MARITIME;TAX_WEAPONS;TAX_WEAPONS_MORTAR;TAX_FNCACT_AUTHOR;TAX_FNCACT_PRINCESS;TAX_ETHNICITY;TAX_ETHNICITY_KOREAN;TAX_WORLDLANGUAGES_KOREAN;,,"1.99750312109863,4.74406991260924,2.74656679151061,7.49063670411985,20.9737827715356,0.499375780274657,718"
42,42,20150302000000.0,AFFECT;MEDIA_SOCIAL;,twitter,"2.7027027027027,2.7027027027027,0,2.7027027027027,25.6756756756757,4.05405405405405,66"
